Lemma,Is active,Wordtype,Forms,Alternatives,Alternatives input fields Company | Company Culture | Goodies,Subcategory: competitive | Hard-hearted | Rough | Corporate,Alternatives_split_role,Alternatives_split_company
Rival,1,s,(e|en|in|innen)?,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,competitive,"['Kompetenz einsetzen', 'im Team etwas verfolgen', 'erreichen']","['Kompetenz einsetzen', 'im Team etwas verfolgen', 'erreichen']"
robust,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,stabil | mit Erfahrung | fachkundig,stabil | mit Erfahrung | fachkundig,rough,"['stabil', 'mit Erfahrung', 'fachkundig']","['stabil', 'mit Erfahrung', 'fachkundig']"
rücksichtslos,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,hard-hearted,[''],['']
schlagkräftig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,etwas nachvollziehbar aufzeigen,,rough,['etwas nachvollziehbar aufzeigen'],['']
selber,1,a,,auf Aufgaben fokussieren | Verantwortung tragen,auf Aufgaben fokussieren | Verantwortung tragen,competitive,"['auf Aufgaben fokussieren', 'Verantwortung tragen']","['auf Aufgaben fokussieren', 'Verantwortung tragen']"
selbst,1,a,,auf Aufgaben fokussieren | Verantwortung tragen,auf Aufgaben fokussieren | Verantwortung tragen,competitive,"['auf Aufgaben fokussieren', 'Verantwortung tragen']","['auf Aufgaben fokussieren', 'Verantwortung tragen']"
selbständig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,competitive,"['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']","['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']"
Selbständigkeit,1,s,,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,Kompetenz einsetzen | auf Aufgaben fokussieren | Verantwortung tragen,competitive,"['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']","['Kompetenz einsetzen', 'auf Aufgaben fokussieren', 'Verantwortung tragen']"
Selbstbehauptung,1,s,,erwirken | umsetzen | vollbringen,erwirken | umsetzen | vollbringen,competitive,"['erwirken', 'umsetzen', 'vollbringen']","['erwirken', 'umsetzen', 'vollbringen']"
selbstbewusst,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,competitive,"['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten']","['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten']"
Selbstbewusstsein,1,s,s?,Vertrauen in eigene Kompetenz | Vertreten der Meinung/Arbeit,Vertrauen in eigene Kompetenz | Vertreten der Meinung/Arbeit,competitive,"['Vertrauen in eigene Kompetenz', 'Vertreten der Meinung/Arbeit']","['Vertrauen in eigene Kompetenz', 'Vertreten der Meinung/Arbeit']"
selbstsicher,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,competitive,"['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten']","['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten']"
selbstständig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive,"['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']","['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']"
Selbstständigkeit,1,s,,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,seine Kompetenz einsetzen | auf seine Aufgaben fokussieren | Verantwortung tragen,competitive,"['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']","['seine Kompetenz einsetzen', 'auf seine Aufgaben fokussieren', 'Verantwortung tragen']"
Selbstvertrauen,1,s,s?,auf eigene Kompetenz zählen | Meinung/Arbeit vertreten,auf eigene Kompetenz zählen | Meinung/Arbeit vertreten,competitive,"['auf eigene Kompetenz zählen', 'Meinung/Arbeit vertreten']","['auf eigene Kompetenz zählen', 'Meinung/Arbeit vertreten']"
sicherstell,1,v,(e|st|t|en),sich um etwas kümmern,sich um etwas kümmern,rough,['sich um etwas kümmern'],['sich um etwas kümmern']
Sicherstellung,1,s,,,,rough,[''],['']
sicher,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,competitive,"['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten']","['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten']"
siegessicher,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,unbeirrt | enthusiastisch | fokussiert,unbeirrt | enthusiastisch | fokussiert,competitive,"['unbeirrt', 'enthusiastisch', 'fokussiert']","['unbeirrt', 'enthusiastisch', 'fokussiert']"
sportlerisch,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive,[''],['']
sportlich,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,flexibel | pragmatisch | unkompliziert | beweglich,flexibel | pragmatisch | unkompliziert | beweglich,competitive,"['flexibel', 'pragmatisch', 'unkompliziert', 'beweglich']","['flexibel', 'pragmatisch', 'unkompliziert', 'beweglich']"
stark,1,a,(e|er|en|em|es)?,stabil | mit Erfahrung | fachkundig ,stabil | mit Erfahrung | fachkundig ,rough,"['stabil', 'mit Erfahrung', 'fachkundig ']","['stabil', 'mit Erfahrung', 'fachkundig ']"
stärk,1,a,(er|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem),stabil | mit Erfahrung | fachkundig ,,rough,"['stabil', 'mit Erfahrung', 'fachkundig ']",['']
Stärke,1,s,,Stabilität | mit Erfahrung | fachkundig,Stabilität | mit Erfahrung | fachkundig,rough,"['Stabilität', 'mit Erfahrung', 'fachkundig']","['Stabilität', 'mit Erfahrung', 'fachkundig']"
streit,1,a,(e|st|t|en),Reibungen bewältigen können | argumentieren können,Reibungen bewältigen können | argumentieren können,hard-hearted,"['Reibungen bewältigen können', 'argumentieren können']","['Reibungen bewältigen können', 'argumentieren können']"
streitlustig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Reibungen bewältigen können | argumentieren können,Reibungen bewältigen können | argumentieren können,hard-hearted,"['Reibungen bewältigen können', 'argumentieren können']","['Reibungen bewältigen können', 'argumentieren können']"
streitsüchtig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted,[''],['']
stur,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted,[''],['']
tapfer,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,zupackend | diszipliniert | Spass an Neuem | offen für neue Entdeckungen,zupackend | diszipliniert | Spass an Neuem | offen für neue Entdeckungen,competitive,"['zupackend', 'diszipliniert', 'Spass an Neuem', 'offen für neue Entdeckungen']","['zupackend', 'diszipliniert', 'Spass an Neuem', 'offen für neue Entdeckungen']"
treibend,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive,[''],['']
treib,1,v,(e|st|t|en),,,competitive,[''],['']
Treiber,1,s,(in)?,initiativ | gerne die Initiative ergreifen,initiativ | gerne die Initiative ergreifen,rough,"['initiativ', 'gerne die Initiative ergreifen']","['initiativ', 'gerne die Initiative ergreifen']"
überlegen,1,a,,,,competitive,[''],['']
überzeug,1,v,(e|st|t|en|end),mit Kompetenz vertreten | Meinung/Arbeit vertreten,mit Kompetenz vertreten | Meinung/Arbeit vertreten,competitive,"['mit Kompetenz vertreten', 'Meinung/Arbeit vertreten']","['mit Kompetenz vertreten', 'Meinung/Arbeit vertreten']"
überzeugt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten,competitive,"['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten']","['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten']"
Überzeugung,1,s,,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten | insistieren,in eigene Kompetenz vertrauen | Meinung/Arbeit vertreten | insistieren,competitive,"['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten', 'insistieren']","['in eigene Kompetenz vertrauen', 'Meinung/Arbeit vertreten', 'insistieren']"
umsetzungsstark,1,a,die Arbeiten zum Abschluss bringen | vollbringen | umsetzungsfreudig,die Arbeiten zum Abschluss bringen | vollbringen | umsetzungsfreudig,hard-hearted,,"['die Arbeiten zum Abschluss bringen', 'vollbringen', 'umsetzungsfreudig']",['hard-hearted']
unabhängig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,auf seine Aufgaben fokussieren | Verantwortung tragen,auf seine Aufgaben fokussieren | Verantwortung tragen,competitive,"['auf seine Aufgaben fokussieren', 'Verantwortung tragen']","['auf seine Aufgaben fokussieren', 'Verantwortung tragen']"
Unabhängigkeit,1,s,,auf seine Aufgaben fokussieren | Verantwortung tragen,auf seine Aufgaben fokussieren | Verantwortung tragen,competitive,"['auf seine Aufgaben fokussieren', 'Verantwortung tragen']","['auf seine Aufgaben fokussieren', 'Verantwortung tragen']"
unbekümmert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,rough,[''],['']
unbeugsam,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted,[''],['']
unerschrocken,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,Spass an Neuem | offen für neue Entdeckungen | ausprobieren wollen | experimentierfreudig,competitive,"['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']","['Spass an Neuem', 'offen für neue Entdeckungen', 'ausprobieren wollen', 'experimentierfreudig']"
unnachgiebig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,hard-hearted,[''],['']
unverschämt,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,competitive,[''],['']
Urteil,1,s,s?,,,hard-hearted,[''],['']
Vaterland,1,s,s?,,Herkunftsland | Ursprungsland | Heimat,rough,[''],"['Herkunftsland', 'Ursprungsland', 'Heimat']"
verfecht,1,v,(e|st|t|en),für etwas einstehen | etwas verteidigen,für etwas einstehen | etwas verteidigen,rough,"['für etwas einstehen', 'etwas verteidigen']","['für etwas einstehen', 'etwas verteidigen']"
vorantreib,1,v,(e|st|t|en),sich engagieren | sich einsetzen,sich engagieren | sich einsetzen,competitive,"['sich engagieren', 'sich einsetzen']","['sich engagieren', 'sich einsetzen']"
waghalsig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,rough,[''],['']
wag,1,a,(e|st|t|en),sich erlaubt | offen für Experimente | neue Sachen ausprobieren,sich erlaubt | offen für Experimente | neue Sachen ausprobieren,rough,"['sich erlaubt', 'offen für Experimente', 'neue Sachen ausprobieren']","['sich erlaubt', 'offen für Experimente', 'neue Sachen ausprobieren']"
wehr,1,a,(e|st|t|en),sich einsetzen für | für etwas einstehen | verteidigen,sich einsetzen für | für etwas einstehen | verteidigen,hard-hearted,"['sich einsetzen für', 'für etwas einstehen', 'verteidigen']","['sich einsetzen für', 'für etwas einstehen', 'verteidigen']"
Wettbewerb,1,s,s?,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,Kompetenz einsetzen | im Team etwas verfolgen | erreichen,competitive,"['Kompetenz einsetzen', 'im Team etwas verfolgen', 'erreichen']","['Kompetenz einsetzen', 'im Team etwas verfolgen', 'erreichen']"
wettbewerbsfähig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,,,competitive,[''],['']
wetteifer,1,a,(e|st|t|en),Kompetenz einsetzen | um weiterzukommen; im Team etwas verfolgen | erreichen,Kompetenz einsetzen | um weiterzukommen; im Team etwas verfolgen | erreichen,competitive,"['Kompetenz einsetzen', 'um weiterzukommen; im Team etwas verfolgen', 'erreichen']","['Kompetenz einsetzen', 'um weiterzukommen; im Team etwas verfolgen', 'erreichen']"
Wettkampf,1,s,(es|s)?,,,competitive,[''],['']
Wettkämpfe,1,s,,,,competitive,[''],['']
zäh,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,,,hard-hearted,[''],['']
Zähigkeit,1,s,,,,hard-hearted,[''],['']
zielorientiert,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|este|ester|estes|esten|estem)?,Meilensteine erreichen wollen | strebsam | fleißig | mit Team etwas verfolgen | erreichen | fokussiert,Meilensteine erreichen wollen | strebsam | fleißig | mit Team etwas verfolgen | erreichen | fokussiert,competitive,"['Meilensteine erreichen wollen', 'strebsam', 'fleißig', 'mit Team etwas verfolgen', 'erreichen', 'fokussiert']","['Meilensteine erreichen wollen', 'strebsam', 'fleißig', 'mit Team etwas verfolgen', 'erreichen', 'fokussiert']"
zielstrebig,1,a,(e|er|en|em|es|ere|erer|eren|erem|eres|erere|erers|erern|ererm|ste|ster|stes|sten|stem)?,Meilensteine erreichen wollen | strebsam | fleißig | mit Team etwas verfolgen | erreichen | fokussiert,Meilensteine erreichen wollen | strebsam | fleißig | mit Team etwas verfolgen | erreichen | fokussiert,competitive,"['Meilensteine erreichen wollen', 'strebsam', 'fleißig', 'mit Team etwas verfolgen', 'erreichen', 'fokussiert']","['Meilensteine erreichen wollen', 'strebsam', 'fleißig', 'mit Team etwas verfolgen', 'erreichen', 'fokussiert']"
